exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-11JUL25-107000-C,2025-06-30 23:59:59.392,2025-07-01 00:00:01.188101,call,107000.0,2025-07-11 08:00:00,941.9,0.024,0.0235,0.5,32.98,0.0245,45.6,34.47,0.0239,33.51,BTC-11JUL25,107294.22,0.53064,7e-05,71.80858,-116.44514,15.39388
deribit,BTC-25JUL25-106000-C,2025-06-30 23:59:59.392,2025-07-01 00:00:00.424103,call,106000.0,2025-07-25 08:00:00,703.7,0.0455,0.043,22.2,35.26,0.044,0.6,36.25,0.0437,35.89,BTC-25JUL25,107408.26,0.57486,4e-05,108.68402,-80.15442,38.03787
deribit,BTC-18JUL25-107000-C,2025-06-30 23:59:59.392,2025-07-01 00:00:00.424645,call,107000.0,2025-07-18 08:00:00,224.1,0.0335,0.0315,0.3,34.34,0.032,0.3,34.92,0.0319,34.81,SYN.BTC-18JUL25,107359.175,0.53272,5e-05,93.02078,-93.40792,25.53301
deribit,BTC-2JUL25-107000-C,2025-06-30 23:59:59.392,2025-07-01 00:00:00.817323,call,107000.0,2025-07-02 08:00:00,29.0,0.0075,0.007,36.4,24.85,0.008,29.9,29.03,0.0075,27.13,SYN.BTC-2JUL25,107206.9403,0.55015,0.00023,25.64518,-260.86741,2.12498
deribit,BTC-3JUL25-107000-C,2025-06-30 23:59:59.392,2025-07-01 00:00:00.630641,call,107000.0,2025-07-03 08:00:00,9.2,0.013,0.0095,44.9,26.25,0.0105,1.2,29.41,0.0104,29.16,SYN.BTC-3JUL25,107233.7152,0.54191,0.00016,34.0156,-212.54045,3.64342
deribit,BTC-18JUL25-108000-P,2025-06-30 23:59:59.392,2025-07-01 00:00:00.700859,put,108000.0,2025-07-18 08:00:00,7.0,0.031,0.033,0.3,34.32,0.034,28.1,35.47,0.0332,34.53,SYN.BTC-18JUL25,107359.175,-0.51654,5e-05,93.25463,-92.88404,-28.02649
deribit,BTC-11JUL25-106000-C,2025-06-30 23:59:59.496,2025-07-01 00:00:01.012684,call,106000.0,2025-07-11 08:00:00,224.9,0.029,0.028,42.0,32.12,0.0295,23.2,34.43,0.0291,33.62,BTC-11JUL25,107294.22,0.59592,6e-05,69.92918,-113.76585,17.22132
deribit,BTC-4JUL25-107000-P,2025-07-01 00:00:00.201,2025-07-01 00:00:00.498650,put,107000.0,2025-07-04 08:00:00,456.7,0.011,0.01,104.3,29.24,0.011,30.8,31.88,0.0106,30.73,BTC-4JUL25,107252.01,-0.46224,0.00013,40.70589,-187.62543,-4.63097
deribit,BTC-4JUL25-107000-C,2025-07-01 00:00:00.202,2025-07-01 00:00:00.422678,call,107000.0,2025-07-04 08:00:00,526.2,0.015,0.012,42.7,28.31,0.0135,52.8,32.26,0.0129,30.73,BTC-4JUL25,107252.86,0.53787,0.00013,40.70517,-187.62211,5.14177
deribit,BTC-18JUL25-107000-P,2025-07-01 00:00:00.237,2025-07-01 00:00:00.503668,put,107000.0,2025-07-18 08:00:00,148.0,0.0265,0.028,32.0,34.16,0.029,28.4,35.32,0.0286,34.81,SYN.BTC-18JUL25,107359.175,-0.46728,5e-05,93.02078,-93.40792,-25.27978
deribit,BTC-11JUL25-108000-P,2025-07-01 00:00:00.399,2025-07-01 00:00:01.521465,put,108000.0,2025-07-11 08:00:00,71.3,0.0255,0.0255,19.2,32.77,0.0265,19.9,34.26,0.0259,33.4,BTC-11JUL25,107296.2,-0.53516,7e-05,71.74261,-115.93981,-17.04344
deribit,BTC-25JUL25-108000-P,2025-07-01 00:00:00.399,2025-07-01 00:00:00.699935,put,108000.0,2025-07-25 08:00:00,1617.2,0.0375,0.039,25.0,35.04,0.04,11.8,36.01,0.0396,35.63,BTC-25JUL25,107409.37,-0.50543,4e-05,110.62833,-80.99331,-39.02781
deribit,BTC-3JUL25-107000-P,2025-07-01 00:00:00.486,2025-07-01 00:00:00.696033,put,107000.0,2025-07-03 08:00:00,19.8,0.0085,0.0075,85.2,26.72,0.0085,0.9,29.87,0.0083,29.16,SYN.BTC-3JUL25,107226.1601,-0.45929,0.00016,34.02387,-212.59211,-3.20499
deribit,BTC-1JUL25-107000-C,2025-07-01 00:00:00.570,2025-07-01 00:00:00.636736,call,107000.0,2025-07-01 08:00:00,35.3,0.0036,0.0031,1.6,17.56,0.0042,1.6,27.01,0.0037,23.31,SYN.BTC-1JUL25,107186.9218,0.59921,0.00051,12.52076,-145.92415,0.58287
deribit,BTC-11JUL25-107000-P,2025-07-01 00:00:00.767,2025-07-01 00:00:01.323205,put,107000.0,2025-07-11 08:00:00,199.7,0.0205,0.021,1.2,33.35,0.0215,27.1,34.1,0.0211,33.51,BTC-11JUL25,107296.2,-0.46922,7e-05,71.8081,-116.44508,-14.89441
deribit,BTC-18JUL25-106000-C,2025-07-01 00:00:00.856,2025-07-01 00:00:01.834879,call,106000.0,2025-07-18 08:00:00,1.5,0.0405,0.036,27.8,33.85,0.0375,32.1,35.61,0.0369,34.97,SYN.BTC-18JUL25,107359.175,0.58133,5e-05,91.38846,-92.18168,27.75436
deribit,BTC-25JUL25-106000-C,2025-07-01 00:00:01.142,2025-07-01 00:00:01.141906,call,106000.0,2025-07-25 08:00:00,703.7,0.0455,0.043,27.0,35.26,0.0435,0.1,36.25,0.0436,35.89,BTC-25JUL25,107407.52,0.57483,4e-05,108.6848,-80.15485,38.03579
deribit,BTC-2JUL25-107000-P,2025-07-01 00:00:02.420,2025-07-01 00:00:02.944580,put,107000.0,2025-07-02 08:00:00,47.6,0.005,0.0055,0.5,26.53,0.006,19.8,28.62,0.0056,27.12,SYN.BTC-2JUL25,107200.3438,-0.45133,0.00023,25.65553,-260.95302,-1.7895
deribit,BTC-4JUL25-107000-C,2025-07-01 00:00:04.104,2025-07-01 00:00:04.103868,call,107000.0,2025-07-04 08:00:00,526.2,0.015,0.0125,17.8,28.29,0.0135,55.6,32.24,0.0129,30.73,BTC-4JUL25,107254.29,0.53805,0.00013,40.70394,-187.60919,5.14355
deribit,BTC-3JUL25-107000-P,2025-07-01 00:00:04.588,2025-07-01 00:00:04.589622,put,107000.0,2025-07-03 08:00:00,19.8,0.0085,0.008,1.6,26.74,0.0085,0.8,29.89,0.0083,29.15,SYN.BTC-3JUL25,107227.4648,-0.45908,0.00016,34.0224,-212.53032,-3.2035
deribit,BTC-18JUL25-106000-C,2025-07-01 00:00:04.709,2025-07-01 00:00:04.719542,call,106000.0,2025-07-18 08:00:00,1.5,0.0405,0.036,23.6,33.88,0.037,1.3,35.64,0.0369,34.97,SYN.BTC-18JUL25,107353.675,0.58107,5e-05,91.39641,-92.19153,27.74089
deribit,BTC-11JUL25-107000-C,2025-07-01 00:00:04.737,2025-07-01 00:00:04.741621,call,107000.0,2025-07-11 08:00:00,941.9,0.024,0.0235,0.5,32.95,0.024,0.2,34.45,0.0239,33.51,BTC-11JUL25,107297.34,0.53085,7e-05,71.80781,-116.44577,15.40009
deribit,BTC-4JUL25-107000-C,2025-07-01 00:00:04.737,2025-07-01 00:00:04.742749,call,107000.0,2025-07-04 08:00:00,526.2,0.015,0.012,42.7,28.29,0.013,0.2,32.24,0.0129,30.73,BTC-4JUL25,107254.29,0.53805,0.00013,40.70394,-187.60919,5.14355
deribit,BTC-18JUL25-107000-C,2025-07-01 00:00:04.737,2025-07-01 00:00:04.742783,call,107000.0,2025-07-18 08:00:00,224.1,0.0335,0.031,34.2,34.37,0.032,0.3,34.95,0.0319,34.81,SYN.BTC-18JUL25,107353.675,0.53245,5e-05,93.02115,-93.40604,25.51936
