exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-30MAY25-96000-P,2025-04-30 23:59:59.363,2025-05-01 00:00:00.412507,put,96000.0,2025-05-30 08:00:00,66.0,0.0575,0.056,26.3,42.46,0.0575,29.2,43.79,0.0567,43.11,BTC-30MAY25,94617.19,-0.52296,3e-05,106.83021,-78.51106,-44.08027
deribit,BTC-9MAY25-94000-C,2025-04-30 23:59:59.363,2025-05-01 00:00:00.501659,call,94000.0,2025-05-09 08:00:00,877.9,0.024,0.024,50.4,37.31,0.025,0.2,38.97,0.0248,38.69,BTC-9MAY25,94285.51,0.53232,7e-05,56.64863,-131.49234,10.92453
deribit,BTC-9MAY25-95000-P,2025-04-30 23:59:59.363,2025-05-01 00:00:00.802836,put,95000.0,2025-05-09 08:00:00,224.0,0.0245,0.0265,41.3,37.2,0.0275,0.7,38.87,0.0274,38.66,BTC-9MAY25,94285.51,-0.53984,7e-05,56.5517,-131.18526,-12.20998
deribit,BTC-30MAY25-94000-C,2025-04-30 23:59:59.363,2025-05-01 00:00:01.517235,call,94000.0,2025-05-30 08:00:00,1496.8,0.0525,0.051,64.2,42.31,0.0525,28.7,43.65,0.0517,42.96,BTC-30MAY25,94617.19,0.54563,3e-05,106.3068,-77.85379,37.55565
deribit,BTC-30MAY25-95000-C,2025-04-30 23:59:59.363,2025-05-01 00:00:01.747927,call,95000.0,2025-05-30 08:00:00,2587.6,0.047,0.0465,0.5,42.82,0.0475,45.4,43.71,0.0468,43.05,BTC-30MAY25,94617.19,0.51114,3e-05,106.96578,-78.49523,35.31144
deribit,BTC-30MAY25-94000-P,2025-04-30 23:59:59.363,2025-05-01 00:00:01.640395,put,94000.0,2025-05-30 08:00:00,433.8,0.0435,0.0445,54.4,42.33,0.0455,3.1,43.22,0.0452,42.96,BTC-30MAY25,94617.19,-0.45437,3e-05,106.3068,-77.85379,-37.98773
deribit,BTC-1MAY25-94000-C,2025-05-01 00:00:00.004,2025-05-01 00:00:00.349803,call,94000.0,2025-05-01 08:00:00,29.2,0.0075,0.0038,0.2,22.13,0.005,27.4,32.41,0.0044,27.57,SYN.BTC-1MAY25,94190.7803,0.59774,0.00049,11.01308,-151.82029,0.51036
deribit,BTC-9MAY25-94000-P,2025-05-01 00:00:00.361,2025-05-01 00:00:00.610542,put,94000.0,2025-05-09 08:00:00,146.3,0.0225,0.021,57.6,37.35,0.022,12.0,39.02,0.0218,38.69,BTC-9MAY25,94285.19,-0.4677,7e-05,56.6487,-131.48908,-10.53713
deribit,BTC-3MAY25-94000-C,2025-05-01 00:00:00.588,2025-05-01 00:00:00.902227,call,94000.0,2025-05-03 08:00:00,7.9,0.017,0.0125,20.6,35.53,0.0135,21.0,38.68,0.013,37.09,SYN.BTC-3MAY25,94215.3614,0.53665,0.00014,29.92511,-237.82208,3.15394
deribit,BTC-16MAY25-94000-P,2025-05-01 00:00:00.690,2025-05-01 00:00:01.414385,put,94000.0,2025-05-16 08:00:00,83.8,0.0315,0.0305,43.8,39.91,0.0315,62.5,41.14,0.0311,40.61,SYN.BTC-16MAY25,94395.95,-0.4633,5e-05,76.85863,-101.77273,-19.60426
deribit,BTC-16MAY25-95000-P,2025-05-01 00:00:00.726,2025-05-01 00:00:01.628823,put,95000.0,2025-05-16 08:00:00,281.0,0.0345,0.036,24.3,39.88,0.0375,31.8,41.71,0.0367,40.75,SYN.BTC-16MAY25,94395.8267,-0.51381,5e-05,77.13909,-102.51038,-21.831
