exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-31OCT25-115000-C,2025-09-30 23:59:59.264,2025-10-01 00:00:00.647704,call,115000.0,2025-10-31 08:00:00,1346.6,0.04,0.038,16.6,34.12,0.039,99.1,34.99,0.0384,34.46,BTC-31OCT25,114704.82,0.50949,3e-05,131.88104,-74.91357,44.9079
deribit,BTC-31OCT25-116000-P,2025-09-30 23:59:59.264,2025-10-01 00:00:00.892812,put,116000.0,2025-10-31 08:00:00,834.7,0.045,0.0455,0.1,34.25,0.046,0.2,34.69,0.0456,34.33,BTC-31OCT25,114704.24,-0.52553,4e-05,131.64762,-74.49484,-54.44166
deribit,BTC_USDC-4OCT25-114000-C,2025-09-30 23:59:59.639,2025-10-01 00:00:00.645979,call,114000.0,2025-10-04 08:00:00,0.0,,1300.0,5.0,28.68,1460.0,5.0,32.36,1380.5,30.53,SYN.BTC_USDC-4OCT25,114105.9,0.51851,0.00012,43.45536,-199.02709,5.27704
deribit,BTC-17OCT25-114000-C,2025-09-30 23:59:59.841,2025-10-01 00:00:00.649067,call,114000.0,2025-10-17 08:00:00,815.2,0.031,0.029,24.7,32.48,0.03,21.0,33.67,0.0295,33.12,SYN.BTC-17OCT25,114367.72,0.53228,5e-05,96.20109,-97.54572,25.72922
deribit,BTC-17OCT25-114000-P,2025-09-30 23:59:59.841,2025-10-01 00:00:00.712689,put,114000.0,2025-10-17 08:00:00,141.3,0.0255,0.026,5.2,32.74,0.0265,0.1,33.33,0.0263,33.12,SYN.BTC-17OCT25,114367.72,-0.46772,5e-05,96.20109,-97.54572,-25.28448
deribit,BTC-2OCT25-114000-C,2025-10-01 00:00:00.102,2025-10-01 00:00:00.804227,call,114000.0,2025-10-02 08:00:00,64.0,0.0065,0.0065,6.8,25.65,0.0075,65.3,29.8,0.0069,27.46,SYN.BTC-2OCT25,114071.1415,0.5183,0.00021,27.47587,-282.90208,2.13085
deribit,BTC-31OCT25-115000-P,2025-10-01 00:00:00.112,2025-10-01 00:00:00.699883,put,115000.0,2025-10-31 08:00:00,815.7,0.0415,0.041,0.1,34.49,0.0415,15.5,34.92,0.041,34.46,BTC-31OCT25,114704.24,-0.49053,3e-05,131.88053,-74.91329,-50.66481
deribit,BTC_USDC-4OCT25-114000-P,2025-10-01 00:00:00.272,2025-10-01 00:00:00.729605,put,114000.0,2025-10-04 08:00:00,0.0,,1240.0,5.0,29.74,1300.0,1.51,31.12,1274.66,30.53,SYN.BTC_USDC-4OCT25,114105.9,-0.48149,0.00012,43.45536,-199.02709,-5.13392
deribit,BTC_USDC-3OCT25-114000-C,2025-10-01 00:00:00.273,2025-10-01 00:00:00.646176,call,114000.0,2025-10-03 08:00:00,3.87,835.0,1080.0,1.46,28.44,1140.0,5.0,30.09,1115.58,29.42,SYN.BTC_USDC-3OCT25,114090.32,0.51812,0.00015,36.35404,-229.20571,3.70751
deribit,BTC_USDC-3OCT25-114000-P,2025-10-01 00:00:00.273,2025-10-01 00:00:00.730334,put,114000.0,2025-10-03 08:00:00,0.07,1100.0,985.0,2.0,28.31,1040.0,0.64,29.83,1025.35,29.42,SYN.BTC_USDC-3OCT25,114090.35,-0.48188,0.00015,36.35403,-229.20566,-3.58013
deribit,BTC-17OCT25-115000-P,2025-10-01 00:00:00.842,2025-10-01 00:00:00.896529,put,115000.0,2025-10-17 08:00:00,63.1,0.029,0.0305,1.1,32.67,0.031,0.8,33.27,0.0307,32.96,SYN.BTC-17OCT25,114367.1,-0.51766,5e-05,96.42203,-97.28966,-28.0662
deribit,BTC-2OCT25-114000-P,2025-10-01 00:00:00.868,2025-10-01 00:00:00.892958,put,114000.0,2025-10-02 08:00:00,23.4,0.0065,0.006,2.9,26.16,0.007,77.8,30.31,0.0063,27.46,SYN.BTC-2OCT25,114070.5786,-0.48182,0.00021,27.47611,-282.92049,-2.03403
deribit,BTC_USDC-3OCT25-114000-C,2025-10-01 00:00:01.193,2025-10-01 00:00:01.267721,call,114000.0,2025-10-03 08:00:00,3.87,835.0,1080.0,3.46,28.44,1180.0,5.0,30.09,1115.58,29.42,SYN.BTC_USDC-3OCT25,114090.32,0.51812,0.00015,36.35404,-229.20571,3.70751
deribit,BTC_USDC-2OCT25-114000-P,2025-10-01 00:00:01.227,2025-10-01 00:00:01.420463,put,114000.0,2025-10-02 08:00:00,0.0,,695.0,5.0,26.55,755.0,1.56,28.73,720.08,27.46,SYN.BTC_USDC-2OCT25,114070.58,-0.48182,0.00021,27.47611,-282.92049,-2.03403
deribit,BTC-3OCT25-114000-C,2025-10-01 00:00:01.249,2025-10-01 00:00:01.320456,call,114000.0,2025-10-03 08:00:00,804.0,0.0085,0.009,68.5,26.95,0.01,2.1,30.09,0.0098,29.42,BTC-3OCT25,114091.64,0.51831,0.00015,36.35365,-229.20357,3.70894
deribit,BTC_USDC-1OCT25-114000-C,2025-10-01 00:00:01.249,2025-10-01 00:00:01.411524,call,114000.0,2025-10-01 08:00:00,0.75,215.0,185.0,6.36,11.47,410.0,5.0,27.9,313.63,20.87,SYN.BTC_USDC-1OCT25,114051.93,0.53003,0.00055,13.71111,-143.09351,0.5492
deribit,BTC_USDC-1OCT25-114000-P,2025-10-01 00:00:01.274,2025-10-01 00:00:01.421018,put,114000.0,2025-10-01 08:00:00,1.02,305.0,120.0,5.09,10.51,285.0,0.68,22.57,261.7,20.87,SYN.BTC_USDC-1OCT25,114051.93,-0.46997,0.00055,13.71111,-143.09351,-0.49189
deribit,BTC-1OCT25-114000-C,2025-10-01 00:00:01.276,2025-10-01 00:00:01.325221,call,114000.0,2025-10-01 08:00:00,404.4,0.0028,0.0024,2.6,17.98,0.0031,16.9,23.8,0.0027,20.87,SYN.BTC-1OCT25,114051.3571,0.52972,0.00055,13.71186,-143.09964,0.54887
deribit,BTC_USDC-10OCT25-113000-C,2025-10-01 00:00:01.281,2025-10-01 00:00:01.790839,call,113000.0,2025-10-10 08:00:00,0.0,,2700.0,5.0,28.27,3180.0,5.0,35.05,2939.68,31.66,SYN.BTC_USDC-10OCT25,114198.59,0.59239,7e-05,70.88957,-120.24367,16.54616
deribit,BTC-4OCT25-114000-C,2025-10-01 00:00:01.349,2025-10-01 00:00:01.414767,call,114000.0,2025-10-04 08:00:00,30.4,0.0145,0.0115,28.0,28.95,0.0125,4.1,31.57,0.0121,30.53,SYN.BTC-4OCT25,114105.8957,0.51851,0.00012,43.45536,-199.02359,5.27704
deribit,BTC-1OCT25-114000-P,2025-10-01 00:00:01.355,2025-10-01 00:00:01.384855,put,114000.0,2025-10-01 08:00:00,199.9,0.0031,0.002,0.8,18.4,0.0025,0.2,22.56,0.0023,20.87,SYN.BTC-1OCT25,114051.3571,-0.47028,0.00055,13.71186,-143.09964,-0.49222
deribit,BTC_USDC-2OCT25-114000-C,2025-10-01 00:00:01.365,2025-10-01 00:00:01.410077,call,114000.0,2025-10-02 08:00:00,1.09,665.0,770.0,5.0,26.71,830.0,1.43,28.89,790.65,27.46,SYN.BTC_USDC-2OCT25,114070.58,0.51818,0.00021,27.47611,-282.92049,2.13036
deribit,BTC-4OCT25-114000-P,2025-10-01 00:00:01.368,2025-10-01 00:00:01.421090,put,114000.0,2025-10-04 08:00:00,8.3,0.012,0.011,0.5,30.07,0.0115,0.7,31.38,0.0112,30.53,SYN.BTC-4OCT25,114105.8957,-0.48149,0.00012,43.45536,-199.02359,-5.13391
deribit,BTC-3OCT25-114000-P,2025-10-01 00:00:01.369,2025-10-01 00:00:01.378011,put,114000.0,2025-10-03 08:00:00,765.1,0.01,0.0085,68.6,27.9,0.0095,91.8,31.04,0.009,29.42,BTC-3OCT25,114091.64,-0.48169,0.00015,36.35365,-229.20357,-3.57873
deribit,BTC-31OCT25-115000-P,2025-10-01 00:00:01.433,2025-10-01 00:00:01.440259,put,115000.0,2025-10-31 08:00:00,815.7,0.0415,0.0405,63.8,34.49,0.0415,16.1,34.93,0.041,34.46,BTC-31OCT25,114706.01,-0.49046,3e-05,131.88208,-74.9145,-50.65891
deribit,BTC-4OCT25-114000-C,2025-10-01 00:00:01.468,2025-10-01 00:00:01.644674,call,114000.0,2025-10-04 08:00:00,30.4,0.0145,0.012,2.1,28.95,0.0125,4.1,31.57,0.0121,30.53,SYN.BTC-4OCT25,114105.8957,0.51851,0.00012,43.45536,-199.02359,5.27704
deribit,BTC-4OCT25-114000-P,2025-10-01 00:00:01.472,2025-10-01 00:00:01.643834,put,114000.0,2025-10-04 08:00:00,8.3,0.012,0.0105,70.0,30.07,0.0115,1.8,31.38,0.0112,30.53,SYN.BTC-4OCT25,114105.8957,-0.48149,0.00012,43.45536,-199.02359,-5.13391
