exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-17JAN25-92000-C,2024-12-31 23:59:58.962,2025-01-01 00:00:00.789273,call,92000.0,2025-01-17 08:00:00,10.1,0.0615,0.0555,30.7,53.25,0.057,0.9,55.08,0.0563,54.24,SYN.BTC-17JAN25,93934.1,0.59433,4e-05,77.04628,-127.92024,22.61535
deribit,BTC-10JAN25-95000-P,2024-12-31 23:59:59.969,2025-01-01 00:00:00.472243,put,95000.0,2025-01-10 08:00:00,71.9,0.035,0.041,19.8,52.59,0.042,12.6,54.16,0.0416,53.58,BTC-10JAN25,93725.31,-0.54571,5e-05,59.39844,-170.48116,-14.0764
deribit,BTC-2JAN25-93000-C,2024-12-31 23:59:59.969,2025-01-01 00:00:00.785749,call,93000.0,2025-01-02 08:00:00,28.9,0.018,0.0135,25.7,45.31,0.0145,0.4,49.53,0.0141,47.9,SYN.BTC-2JAN25,93454.1948,0.5725,0.00015,22.16049,-398.07475,1.90626
deribit,BTC-1JAN25-93500-P,2024-12-31 23:59:59.969,2025-01-01 00:00:00.874508,put,93500.0,2025-01-01 08:00:00,29.4,0.005,0.0045,21.8,32.17,0.0055,7.0,40.51,0.0054,39.91,SYN.BTC-1JAN25,93389.6995,-0.53659,0.00035,11.21167,-223.71973,-0.46227
deribit,BTC-17JAN25-93000-C,2024-12-31 23:59:59.969,2025-01-01 00:00:00.970679,call,93000.0,2025-01-17 08:00:00,3.4,0.0565,0.05,38.9,53.43,0.0515,13.8,55.23,0.0507,54.26,SYN.BTC-17JAN25,93935.6333,0.55749,4e-05,78.44961,-130.30077,21.30336
deribit,BTC-17JAN25-95000-P,2024-12-31 23:59:59.969,2025-01-01 00:00:01.471458,put,95000.0,2025-01-17 08:00:00,21.4,0.0415,0.0515,21.9,53.77,0.053,36.5,55.55,0.0522,54.56,SYN.BTC-17JAN25,93935.6333,-0.51592,4e-05,79.21101,-132.30191,-23.87947
deribit,BTC-3JAN25-93000-C,2024-12-31 23:59:59.969,2025-01-01 00:00:01.360687,call,93000.0,2025-01-03 08:00:00,114.4,0.019,0.019,34.2,50.5,0.02,0.2,53.67,0.0199,53.25,BTC-3JAN25,93520.75,0.56058,0.0001,29.48583,-336.42626,3.23268
deribit,BTC-31JAN25-92000-C,2025-01-01 00:00:00.042,2025-01-01 00:00:00.967078,call,92000.0,2025-01-31 08:00:00,237.6,0.0785,0.0775,21.6,56.62,0.0785,1.0,57.52,0.0782,57.23,BTC-31JAN25,94358.41,0.59325,2e-05,105.54042,-99.55872,40.39022
deribit,BTC-17JAN25-94000-P,2025-01-01 00:00:00.388,2025-01-01 00:00:01.267797,put,94000.0,2025-01-17 08:00:00,6.3,0.0455,0.0455,24.6,53.51,0.0465,3.1,54.69,0.0462,54.35,SYN.BTC-17JAN25,93934.1,-0.47951,4e-05,79.16823,-131.71956,-22.09829
deribit,BTC-17JAN25-94000-C,2025-01-01 00:00:00.388,2025-01-01 00:00:01.168442,call,94000.0,2025-01-17 08:00:00,11.5,0.0465,0.045,37.3,53.75,0.046,1.6,54.93,0.0455,54.35,SYN.BTC-17JAN25,93934.1,0.52049,4e-05,79.16823,-131.71956,19.96564
deribit,BTC-31JAN25-94000-C,2025-01-01 00:00:00.392,2025-01-01 00:00:01.361225,call,94000.0,2025-01-31 08:00:00,619.1,0.067,0.067,35.6,56.76,0.0685,19.3,58.07,0.0677,57.36,BTC-31JAN25,94358.41,0.54209,3e-05,107.91424,-102.02452,37.2013
deribit,BTC-31JAN25-93000-C,2025-01-01 00:00:00.808,2025-01-01 00:00:01.164259,call,93000.0,2025-01-31 08:00:00,96.9,0.077,0.072,39.9,56.59,0.0735,18.5,57.92,0.0727,57.26,BTC-31JAN25,94358.41,0.56765,3e-05,106.95486,-100.94576,38.80783
deribit,BTC-31JAN25-95000-P,2025-01-01 00:00:00.976,2025-01-01 00:00:01.667893,put,95000.0,2025-01-31 08:00:00,1079.2,0.0695,0.069,26.1,56.86,0.0705,6.8,58.16,0.0698,57.52,BTC-31JAN25,94357.75,-0.48325,3e-05,108.42222,-102.79554,-43.36474
deribit,BTC-10JAN25-93000-C,2025-01-01 00:00:00.976,2025-01-01 00:00:01.569306,call,93000.0,2025-01-10 08:00:00,30.4,0.0385,0.0375,27.6,52.72,0.0385,1.0,54.3,0.0379,53.33,BTC-10JAN25,93724.53,0.55316,5e-05,59.25936,-169.29369,12.3491
deribit,BTC-31JAN25-94000-P,2025-01-01 00:00:01.084,2025-01-01 00:00:01.467771,put,94000.0,2025-01-31 08:00:00,585.6,0.0645,0.0635,24.2,57.02,0.0645,1.5,57.89,0.0639,57.36,BTC-31JAN25,94357.75,-0.45793,3e-05,107.91397,-102.02482,-40.91876
deribit,BTC-31JAN25-95000-C,2025-01-01 00:00:01.084,2025-01-01 00:00:01.566365,call,95000.0,2025-01-31 08:00:00,692.9,0.0635,0.0625,2.2,57.13,0.0635,21.5,58.0,0.063,57.52,BTC-31JAN25,94357.75,0.51675,3e-05,108.42222,-102.79554,35.58504
deribit,BTC-3JAN25-94000-P,2025-01-01 00:00:01.646,2025-01-01 00:00:01.667293,put,94000.0,2025-01-03 08:00:00,674.4,0.019,0.019,26.1,51.01,0.0205,37.2,54.16,0.0197,53.2,BTC-3JAN25,93520.75,-0.53939,0.0001,29.68492,-338.39837,-3.34251
deribit,BTC-10JAN25-94000-C,2025-01-01 00:00:01.783,2025-01-01 00:00:01.801607,call,94000.0,2025-01-10 08:00:00,139.7,0.0315,0.0325,20.1,53.15,0.033,1.4,53.93,0.0327,53.43,BTC-10JAN25,93725.35,0.50338,5e-05,59.7893,-171.15193,11.28093
deribit,BTC-10JAN25-94000-P,2025-01-01 00:00:01.805,2025-01-01 00:00:01.918995,put,94000.0,2025-01-10 08:00:00,92.4,0.036,0.035,21.1,52.47,0.036,12.9,53.25,0.0356,53.43,BTC-10JAN25,93724.53,-0.49666,5e-05,59.78883,-171.15058,-12.75658
deribit,BTC-31JAN25-96000-P,2025-01-01 00:00:01.818,2025-01-01 00:00:01.914369,put,96000.0,2025-01-31 08:00:00,682.2,0.0775,0.075,29.4,56.9,0.077,40.9,58.64,0.0759,57.67,BTC-31JAN25,94357.75,-0.50824,3e-05,108.49472,-103.13662,-45.805
