exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-18APR25-84000-P,2025-03-31 23:59:59.858,2025-04-01 00:00:00.459926,put,84000.0,2025-04-18 08:00:00,61.5,0.0495,0.0505,25.2,47.75,0.0515,0.6,48.91,0.0513,48.64,SYN.BTC-18APR25,82650.58,-0.53974,5e-05,71.49714,-100.32152,-23.19703
deribit,BTC-3APR25-82000-C,2025-04-01 00:00:00.135,2025-04-01 00:00:00.384594,call,82000.0,2025-04-03 08:00:00,5.5,0.0235,0.0215,0.7,56.67,0.0225,32.5,59.85,0.0219,57.85,SYN.BTC-3APR25,82543.63,0.56592,0.0001,25.96887,-321.92525,2.8708
deribit,BTC-1APR25-82500-P,2025-04-01 00:00:00.323,2025-04-01 00:00:00.634750,put,82500.0,2025-04-01 08:00:00,48.5,0.0044,0.0036,0.3,31.67,0.0041,0.5,35.82,0.0038,33.56,SYN.BTC-1APR25,82536.494,-0.48059,0.00048,9.93881,-166.79009,-0.36513
deribit,BTC-3APR25-83000-P,2025-04-01 00:00:00.428,2025-04-01 00:00:00.634131,put,83000.0,2025-04-03 08:00:00,23.9,0.022,0.0205,0.7,54.99,0.0215,24.4,58.14,0.0209,56.29,SYN.BTC-3APR25,82542.215,-0.53998,0.00011,26.19633,-316.01071,-2.95963
deribit,BTC-1APR25-82500-C,2025-04-01 00:00:00.442,2025-04-01 00:00:00.540951,call,82500.0,2025-04-01 08:00:00,67.6,0.0041,0.004,5.3,31.32,0.0044,0.9,34.64,0.0043,33.56,SYN.BTC-1APR25,82536.4301,0.51938,0.00048,9.93884,-166.79058,0.38827
deribit,BTC-11APR25-82000-C,2025-04-01 00:00:00.506,2025-04-01 00:00:00.739265,call,82000.0,2025-04-11 08:00:00,123.4,0.0395,0.0375,34.3,50.47,0.0385,0.8,51.97,0.0379,51.12,BTC-11APR25,82599.66,0.55081,6e-05,54.99458,-136.02388,11.99351
deribit,BTC-18APR25-84000-P,2025-04-01 00:00:00.606,2025-04-01 00:00:00.610494,put,84000.0,2025-04-18 08:00:00,61.5,0.0495,0.0505,25.2,47.75,0.052,14.2,48.91,0.0513,48.64,SYN.BTC-18APR25,82650.58,-0.53974,5e-05,71.49714,-100.32152,-23.19703
deribit,BTC-3APR25-82000-C,2025-04-01 00:00:00.617,2025-04-01 00:00:00.622263,call,82000.0,2025-04-03 08:00:00,5.5,0.0235,0.021,28.4,56.67,0.022,0.7,59.85,0.0219,57.85,SYN.BTC-3APR25,82543.63,0.56592,0.0001,25.96887,-321.92525,2.8708
deribit,BTC-4APR25-82000-C,2025-04-01 00:00:00.653,2025-04-01 00:00:01.322405,call,82000.0,2025-04-04 08:00:00,843.2,0.0245,0.024,11.8,55.31,0.025,0.7,56.64,0.0248,56.01,BTC-4APR25,82548.0,0.56009,9e-05,31.11322,-261.39394,4.03565
deribit,BTC-11APR25-83000-P,2025-04-01 00:00:00.720,2025-04-01 00:00:01.042326,put,83000.0,2025-04-11 08:00:00,194.3,0.0385,0.036,42.9,49.84,0.037,4.9,51.33,0.0365,50.58,BTC-11APR25,82600.11,-0.50567,6e-05,55.43968,-135.67793,-12.67821
deribit,BTC-18APR25-81000-C,2025-04-01 00:00:00.865,2025-04-01 00:00:01.323784,call,81000.0,2025-04-18 08:00:00,4.0,0.057,0.053,24.6,49.13,0.0545,27.9,50.91,0.0536,49.8,SYN.BTC-18APR25,82650.705,0.5949,4e-05,69.81142,-100.283,21.24722
deribit,BTC-25APR25-82000-C,2025-04-01 00:00:00.865,2025-04-01 00:00:01.340374,call,82000.0,2025-04-25 08:00:00,406.1,0.054,0.054,22.4,48.43,0.055,31.6,49.41,0.0545,48.95,BTC-25APR25,82701.23,0.55194,4e-05,84.46455,-84.9495,27.42471
deribit,BTC-18APR25-83000-C,2025-04-01 00:00:00.935,2025-04-01 00:00:01.740549,call,83000.0,2025-04-18 08:00:00,15.8,0.04,0.04,62.0,48.32,0.041,4.2,49.47,0.0405,48.92,SYN.BTC-18APR25,82650.705,0.50548,5e-05,71.84727,-101.37846,18.24966
deribit,BTC-25APR25-84000-P,2025-04-01 00:00:01.353,2025-04-01 00:00:01.664177,put,84000.0,2025-04-25 08:00:00,508.3,0.059,0.0575,36.1,47.47,0.059,16.3,48.93,0.0584,48.37,BTC-25APR25,82701.23,-0.52485,4e-05,85.02225,-84.49766,-32.15828
deribit,BTC-4APR25-82000-C,2025-04-01 00:00:01.489,2025-04-01 00:00:01.490978,call,82000.0,2025-04-04 08:00:00,843.2,0.0245,0.0245,0.7,54.0,0.025,0.7,56.65,0.0248,56.01,BTC-4APR25,82547.11,0.56001,9e-05,31.11383,-261.39908,4.03505
deribit,BTC-18APR25-83000-P,2025-04-01 00:00:01.491,2025-04-01 00:00:01.862029,put,83000.0,2025-04-18 08:00:00,33.9,0.0445,0.044,51.3,48.64,0.0455,22.3,49.79,0.0447,48.92,SYN.BTC-18APR25,82650.58,-0.49453,5e-05,71.84718,-101.37833,-21.16608
deribit,BTC-3APR25-83000-P,2025-04-01 00:00:01.508,2025-04-01 00:00:01.508811,put,83000.0,2025-04-03 08:00:00,23.9,0.022,0.02,31.9,54.99,0.0215,24.4,58.14,0.0209,56.29,SYN.BTC-3APR25,82542.215,-0.53998,0.00011,26.19633,-316.01071,-2.95963
deribit,BTC-4APR25-82000-C,2025-04-01 00:00:01.521,2025-04-01 00:00:01.529883,call,82000.0,2025-04-04 08:00:00,843.2,0.0245,0.0245,0.7,54.0,0.0255,22.1,56.65,0.0248,56.01,BTC-4APR25,82547.11,0.56001,9e-05,31.11383,-261.39908,4.03505
deribit,BTC-4APR25-83000-P,2025-04-01 00:00:01.524,2025-04-01 00:00:01.646029,put,83000.0,2025-04-04 08:00:00,758.0,0.0233,0.023,12.7,52.68,0.024,0.8,55.31,0.0236,54.37,BTC-4APR25,82547.11,-0.53161,9e-05,31.37172,-255.84522,-4.18582
deribit,BTC-2APR25-82000-C,2025-04-01 00:00:01.532,2025-04-01 00:00:01.565030,call,82000.0,2025-04-02 08:00:00,75.0,0.014,0.0145,0.4,45.47,0.0155,0.7,49.74,0.0151,48.09,SYN.BTC-2APR25,82538.9181,0.5948,0.00016,19.33724,-348.73893,1.74781
deribit,BTC-18APR25-82000-C,2025-04-01 00:00:01.538,2025-04-01 00:00:01.565870,call,82000.0,2025-04-18 08:00:00,107.1,0.048,0.0465,0.8,49.04,0.0475,4.8,50.2,0.0469,49.49,SYN.BTC-18APR25,82650.58,0.55061,4e-05,71.27501,-101.76095,19.77075
deribit,BTC-1APR25-82500-C,2025-04-01 00:00:01.579,2025-04-01 00:00:01.621701,call,82500.0,2025-04-01 08:00:00,67.6,0.0041,0.004,5.3,31.32,0.0047,0.8,34.64,0.0043,33.56,SYN.BTC-1APR25,82536.4301,0.51938,0.00048,9.93884,-166.79058,0.38827
deribit,BTC-1APR25-82500-C,2025-04-01 00:00:01.617,2025-04-01 00:00:01.626513,call,82500.0,2025-04-01 08:00:00,67.6,0.0041,0.004,5.3,31.32,0.0046,2.5,34.64,0.0043,33.56,SYN.BTC-1APR25,82536.4301,0.51938,0.00048,9.93884,-166.79058,0.38827
deribit,BTC-1APR25-82500-C,2025-04-01 00:00:03.623,2025-04-01 00:00:03.630581,call,82500.0,2025-04-01 08:00:00,67.6,0.0041,0.004,0.3,31.24,0.0045,1.8,36.23,0.0043,33.56,SYN.BTC-1APR25,82537.9289,0.52009,0.00048,9.93814,-166.78038,0.38881
deribit,BTC-1APR25-82500-C,2025-04-01 00:00:04.704,2025-04-01 00:00:04.710661,call,82500.0,2025-04-01 08:00:00,67.6,0.0041,0.0037,0.8,31.24,0.0045,1.8,35.4,0.0043,33.56,SYN.BTC-1APR25,82537.9289,0.52009,0.00048,9.93814,-166.78572,0.38881
deribit,BTC-1APR25-82500-C,2025-04-01 00:00:04.710,2025-04-01 00:00:04.716506,call,82500.0,2025-04-01 08:00:00,67.6,0.0041,0.0038,0.8,31.24,0.0045,1.8,35.4,0.0043,33.56,SYN.BTC-1APR25,82537.9289,0.52009,0.00048,9.93814,-166.78572,0.38881
deribit,BTC-18APR25-82000-C,2025-04-01 00:00:04.850,2025-04-01 00:00:04.854869,call,82000.0,2025-04-18 08:00:00,107.1,0.048,0.046,37.5,49.04,0.0475,4.8,50.2,0.0469,49.49,SYN.BTC-18APR25,82650.58,0.55061,4e-05,71.27501,-101.76073,19.77075
deribit,BTC-18APR25-83000-P,2025-04-01 00:00:04.883,2025-04-01 00:00:04.904443,put,83000.0,2025-04-18 08:00:00,33.9,0.0445,0.0445,0.7,48.08,0.0455,22.3,49.8,0.0447,48.92,SYN.BTC-18APR25,82652.545,-0.49444,5e-05,71.84866,-101.3813,-21.16259
deribit,BTC-4APR25-83000-P,2025-04-01 00:00:04.939,2025-04-01 00:00:04.943420,put,83000.0,2025-04-04 08:00:00,758.0,0.0233,0.0235,0.1,52.75,0.024,0.8,55.38,0.0236,54.37,BTC-4APR25,82551.11,-0.53125,9e-05,31.37553,-255.86189,-4.18304
