exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC_USDC-5SEP25-108000-C,2025-08-31 23:59:59.304,2025-09-01 00:00:00.614080,call,108000.0,2025-09-05 08:00:00,0.15,2140.0,1680.0,5.2,32.41,2100.0,5.0,41.37,1916.56,37.46,SYN.BTC_USDC-5SEP25,108305.04,0.53566,9e-05,46.89034,-202.65277,6.65999
deribit,BTC_USDC-3SEP25-108000-P,2025-08-31 23:59:59.668,2025-09-01 00:00:01.145904,put,108000.0,2025-09-03 08:00:00,0.0,,1100.0,0.37,35.81,1180.0,0.78,38.14,1143.43,37.08,SYN.BTC_USDC-3SEP25,108280.07,-0.4593,0.00012,34.35841,-272.9829,-3.25243
deribit,BTC_USDC-3SEP25-108000-C,2025-08-31 23:59:59.668,2025-09-01 00:00:01.026825,call,108000.0,2025-09-03 08:00:00,0.0,,1180.0,5.2,29.98,1560.0,5.0,41.05,1423.43,37.08,SYN.BTC_USDC-3SEP25,108280.07,0.5407,0.00012,34.35841,-272.9829,3.65168
deribit,BTC-5SEP25-108000-C,2025-08-31 23:59:59.668,2025-09-01 00:00:00.615543,call,108000.0,2025-09-05 08:00:00,47.5,0.0175,0.0175,0.3,37.0,0.018,16.8,38.15,0.0177,37.46,BTC-5SEP25,108303.95,0.53557,9e-05,46.8909,-202.6552,6.65873
deribit,BTC-4SEP25-108000-C,2025-09-01 00:00:00.086,2025-09-01 00:00:00.615551,call,108000.0,2025-09-04 08:00:00,0.0,,0.015,21.1,35.74,0.016,17.0,38.37,0.0157,37.48,SYN.BTC-4SEP25,108292.5285,0.53722,0.0001,41.10607,-231.09564,5.15808
deribit,BTC-4SEP25-108000-P,2025-09-01 00:00:00.086,2025-09-01 00:00:00.694282,put,108000.0,2025-09-04 08:00:00,2.4,0.009,0.0125,15.0,36.27,0.0135,37.0,38.91,0.013,37.48,SYN.BTC-4SEP25,108292.5285,-0.46278,0.0001,41.10607,-231.09564,-4.70494
deribit,BTC-5SEP25-108000-P,2025-09-01 00:00:00.108,2025-09-01 00:00:00.694276,put,108000.0,2025-09-05 08:00:00,2149.9,0.0145,0.0145,14.0,36.55,0.0155,62.9,38.86,0.0149,37.46,BTC-5SEP25,108303.95,-0.46443,9e-05,46.8909,-202.6552,-6.16319
deribit,BTC-19SEP25-108000-P,2025-09-01 00:00:00.165,2025-09-01 00:00:01.116344,put,108000.0,2025-09-19 08:00:00,170.0,0.0305,0.0305,27.0,37.06,0.0315,34.6,38.18,0.031,37.57,SYN.BTC-19SEP25,108565.355,-0.45854,4e-05,96.5433,-98.93102,-26.6927
deribit,BTC-19SEP25-107000-C,2025-09-01 00:00:00.165,2025-09-01 00:00:00.794277,call,107000.0,2025-09-19 08:00:00,7.3,0.0435,0.041,0.5,37.52,0.042,16.8,38.66,0.0414,37.93,SYN.BTC-19SEP25,108565.355,0.58448,4e-05,94.8833,-98.14126,29.61698
deribit,BTC-19SEP25-108000-C,2025-09-01 00:00:00.165,2025-09-01 00:00:01.011315,call,108000.0,2025-09-19 08:00:00,3.7,0.036,0.0355,27.4,36.83,0.0365,0.3,37.95,0.0362,37.57,SYN.BTC-19SEP25,108565.355,0.54146,4e-05,96.5433,-98.93102,27.55388
deribit,BTC_USDC-12SEP25-110000-P,2025-09-01 00:00:00.312,2025-09-01 00:00:00.929742,put,110000.0,2025-09-12 08:00:00,0.0,,3520.0,5.0,49.16,3980.0,5.2,55.23,3703.62,37.08,SYN.BTC_USDC-12SEP25,110441.82,-0.46255,6e-05,77.29591,-126.44218,-16.68684
deribit,BTC_USDC-12SEP25-110000-C,2025-09-01 00:00:00.312,2025-09-01 00:00:00.812411,call,110000.0,2025-09-12 08:00:00,0.01,2220.0,2060.0,0.38,24.17,2140.0,0.89,25.23,2119.79,37.08,SYN.BTC_USDC-12SEP25,110441.82,0.53745,6e-05,77.29591,-126.44218,17.46841
deribit,BTC_USDC-12SEP25-109000-C,2025-09-01 00:00:00.312,2025-09-01 00:00:00.615309,call,109000.0,2025-09-12 08:00:00,0.0,,2520.0,0.38,22.78,2600.0,0.79,23.89,2562.73,37.3,SYN.BTC_USDC-12SEP25,110441.82,0.59204,5e-05,75.56292,-124.35222,19.16756
deribit,BTC_USDC-5SEP25-108000-P,2025-09-01 00:00:00.312,2025-09-01 00:00:00.714745,put,108000.0,2025-09-05 08:00:00,8.57,1460.0,1540.0,0.38,35.92,1620.0,0.78,37.62,1612.16,37.46,SYN.BTC_USDC-5SEP25,108303.95,-0.46443,9e-05,46.8909,-202.65114,-6.16318
deribit,BTC_USDC-12SEP25-111000-P,2025-09-01 00:00:00.312,2025-09-01 00:00:01.149390,put,111000.0,2025-09-12 08:00:00,0.0,,,,,,,,4329.71,37.08,SYN.BTC_USDC-12SEP25,110441.82,-0.51774,6e-05,77.56149,-126.87452,-18.73997
deribit,BTC-12SEP25-108000-P,2025-09-01 00:00:00.676,2025-09-01 00:00:01.348570,put,108000.0,2025-09-12 08:00:00,2620.1,0.0245,0.0245,0.3,37.59,0.025,1.1,38.3,0.0247,37.86,BTC-12SEP25,108414.49,-0.46383,5e-05,75.89976,-126.75988,-16.44512
deribit,BTC-12SEP25-109000-P,2025-09-01 00:00:00.676,2025-09-01 00:00:01.544933,put,109000.0,2025-09-12 08:00:00,172.2,0.0285,0.0285,29.0,36.48,0.0295,0.3,37.9,0.0291,37.3,BTC-12SEP25,108414.49,-0.51957,6e-05,76.1214,-125.27129,-18.46913
deribit,BTC_USDC-2SEP25-108000-P,2025-09-01 00:00:00.677,2025-09-01 00:00:01.550622,put,108000.0,2025-09-02 08:00:00,5.01,1280.0,720.0,0.37,32.5,885.0,0.83,38.87,841.21,37.19,SYN.BTC_USDC-2SEP25,108268.16,-0.45163,0.00016,25.91346,-361.4379,-1.81693
deribit,BTC_USDC-2SEP25-108000-C,2025-09-01 00:00:00.677,2025-09-01 00:00:01.461100,call,108000.0,2025-09-02 08:00:00,5.0,1360.0,855.0,5.2,27.35,1160.0,5.0,39.14,1109.86,37.19,SYN.BTC_USDC-2SEP25,108268.16,0.54837,0.00016,25.91346,-361.4379,2.12828
deribit,BTC_USDC-4SEP25-108000-C,2025-09-01 00:00:00.677,2025-09-01 00:00:01.026825,call,108000.0,2025-09-04 08:00:00,0.0,,,,,1840.0,5.0,41.01,1695.25,37.48,SYN.BTC_USDC-4SEP25,108291.99,0.53716,0.0001,41.1064,-231.09751,5.15753
deribit,BTC_USDC-4SEP25-108000-P,2025-09-01 00:00:00.677,2025-09-01 00:00:01.145882,put,108000.0,2025-09-04 08:00:00,0.01,1100.0,1340.0,0.38,35.94,1480.0,0.78,39.35,1402.83,37.48,SYN.BTC_USDC-4SEP25,108291.99,-0.46284,0.0001,41.1064,-231.09751,-4.70549
deribit,BTC_USDC-1SEP25-108000-C,2025-09-01 00:00:00.677,2025-09-01 00:00:01.843684,call,108000.0,2025-09-01 08:00:00,0.76,1100.0,,,,720.0,5.0,44.72,643.31,38.71,SYN.BTC_USDC-1SEP25,108256.24,0.58256,0.00031,12.7709,-247.16812,0.57007
deribit,BTC-12SEP25-108000-C,2025-09-01 00:00:00.955,2025-09-01 00:00:01.252288,call,108000.0,2025-09-12 08:00:00,75.7,0.028,0.028,13.3,37.12,0.029,31.5,38.55,0.0285,37.86,BTC-12SEP25,108415.01,0.53619,5e-05,75.89963,-126.75961,17.09009
