exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-6JUN25-104000-C,2025-05-31 23:59:59.795,2025-06-01 00:00:00.514555,call,104000.0,2025-06-06 08:00:00,319.5,0.0205,0.022,1.0,37.9,0.023,19.7,40.0,0.0227,39.36,BTC-6JUN25,104747.73,0.56921,8e-05,49.75145,-183.58026,8.36476
deribit,BTC-20JUN25-106000-P,2025-05-31 23:59:59.795,2025-06-01 00:00:00.581208,put,106000.0,2025-06-20 08:00:00,13.7,0.048,0.044,1.0,42.51,0.0445,0.3,43.05,0.0445,43.09,SYN.BTC-20JUN25,105027.0,-0.51731,4e-05,96.34052,-107.36355,-31.25575
deribit,BTC-13JUN25-104000-C,2025-05-31 23:59:59.795,2025-06-01 00:00:00.690105,call,104000.0,2025-06-13 08:00:00,34.5,0.0345,0.034,1.0,40.48,0.035,24.2,41.86,0.0345,41.23,BTC-13JUN25,104892.42,0.55987,5e-05,76.05376,-127.1187,18.61914
deribit,BTC-6JUN25-105000-P,2025-05-31 23:59:59.795,2025-06-01 00:00:00.775782,put,105000.0,2025-06-06 08:00:00,526.9,0.0195,0.0195,6.3,37.84,0.0205,19.2,39.92,0.02,38.88,BTC-6JUN25,104747.43,-0.51107,8e-05,50.49394,-184.0495,-8.12829
deribit,BTC-13JUN25-105000-C,2025-05-31 23:59:59.795,2025-06-01 00:00:00.874700,call,105000.0,2025-06-13 08:00:00,133.0,0.0296,0.0295,0.4,40.91,0.03,8.3,41.59,0.0297,41.18,BTC-13JUN25,104892.42,0.50969,5e-05,76.89883,-128.36941,17.01268
deribit,BTC-13JUN25-106000-P,2025-05-31 23:59:59.795,2025-06-01 00:00:01.173000,put,106000.0,2025-06-13 08:00:00,322.1,0.0417,0.0355,1.0,40.6,0.036,0.8,41.29,0.0359,41.15,BTC-13JUN25,104892.42,-0.54024,5e-05,76.52995,-127.67725,-20.42017
deribit,BTC-27JUN25-105000-C,2025-05-31 23:59:59.795,2025-06-01 00:00:01.469597,call,105000.0,2025-06-27 08:00:00,4479.0,0.0483,0.0475,30.0,43.66,0.0485,15.6,44.6,0.0478,43.98,BTC-27JUN25,105161.83,0.52874,3e-05,112.39469,-93.85728,36.48616
deribit,BTC-20JUN25-103000-C,2025-05-31 23:59:59.795,2025-06-01 00:00:01.471704,call,103000.0,2025-06-20 08:00:00,1.5,0.0506,0.049,16.9,42.45,0.0505,27.6,44.14,0.0494,42.92,SYN.BTC-20JUN25,105027.0,0.59742,4e-05,93.54177,-103.84116,30.48547
deribit,BTC-1JUN25-104500-C,2025-06-01 00:00:00.727,2025-06-01 00:00:00.874160,call,104500.0,2025-06-01 08:00:00,36.3,0.0038,0.0026,17.0,14.67,0.004,17.1,26.65,0.0034,21.44,SYN.BTC-1JUN25,104654.1349,0.59124,0.00057,12.28566,-131.69379,0.56184
deribit,BTC-13JUN25-105000-P,2025-06-01 00:00:00.792,2025-06-01 00:00:00.973853,put,105000.0,2025-06-13 08:00:00,48.5,0.0295,0.03,26.2,40.19,0.031,2.6,41.56,0.0307,41.18,BTC-13JUN25,104892.42,-0.49031,5e-05,76.89883,-128.36941,-18.46678
deribit,BTC-27JUN25-105000-P,2025-06-01 00:00:00.793,2025-06-01 00:00:01.567978,put,105000.0,2025-06-27 08:00:00,1203.7,0.046,0.0455,29.0,43.23,0.0465,1.0,44.17,0.0463,43.98,BTC-27JUN25,105161.83,-0.47126,3e-05,112.39469,-93.85728,-39.26727
deribit,BTC-20JUN25-105000-C,2025-06-01 00:00:00.802,2025-06-01 00:00:01.874853,call,105000.0,2025-06-20 08:00:00,237.3,0.041,0.0395,0.4,42.9,0.04,8.2,43.45,0.0395,42.93,SYN.BTC-20JUN25,105027.0,0.52074,4e-05,96.301,-106.91113,26.77032
deribit,BTC-3JUN25-105000-P,2025-06-01 00:00:00.802,2025-06-01 00:00:01.771782,put,105000.0,2025-06-03 08:00:00,1.3,0.012,0.012,18.8,32.75,0.013,2.1,35.9,0.0125,34.43,SYN.BTC-3JUN25,104691.7501,-0.53706,0.00014,33.2495,-245.32167,-3.67822
deribit,BTC-20JUN25-105000-P,2025-06-01 00:00:00.802,2025-06-01 00:00:01.981861,put,105000.0,2025-06-20 08:00:00,119.7,0.0425,0.0385,21.7,42.1,0.0395,1.9,43.19,0.0393,42.93,SYN.BTC-20JUN25,105027.29,-0.47925,4e-05,96.30113,-106.91127,-28.8455
deribit,BTC-3JUN25-104000-C,2025-06-01 00:00:00.802,2025-06-01 00:00:01.467835,call,104000.0,2025-06-03 08:00:00,7.8,0.015,0.014,18.0,32.6,0.015,1.0,35.84,0.0148,35.07,SYN.BTC-3JUN25,104691.7501,0.59889,0.00013,32.36243,-243.17239,3.90935
deribit,BTC-20JUN25-104000-C,2025-06-01 00:00:00.802,2025-06-01 00:00:01.701153,call,104000.0,2025-06-20 08:00:00,16.7,0.046,0.044,1.9,42.61,0.045,1.0,43.71,0.0445,43.12,SYN.BTC-20JUN25,105027.29,0.55909,4e-05,95.37173,-106.34923,28.62936
deribit,BTC-20JUN25-106000-P,2025-06-01 00:00:05.221,2025-06-01 00:00:05.225525,put,106000.0,2025-06-20 08:00:00,13.7,0.048,0.0435,21.5,42.51,0.0445,0.3,43.05,0.0445,43.09,SYN.BTC-20JUN25,105027.265,-0.5173,4e-05,96.34084,-107.3602,-31.25522
deribit,BTC-13JUN25-106000-P,2025-06-01 00:00:05.371,2025-06-01 00:00:05.378744,put,106000.0,2025-06-13 08:00:00,322.1,0.0417,0.035,18.8,40.6,0.036,0.8,41.29,0.0359,41.15,BTC-13JUN25,104892.49,-0.54023,5e-05,76.53012,-127.68207,-20.41999
deribit,BTC-3JUN25-104000-C,2025-06-01 00:00:05.592,2025-06-01 00:00:05.598990,call,104000.0,2025-06-03 08:00:00,7.8,0.015,0.0145,0.4,32.59,0.015,1.0,35.83,0.0148,35.06,SYN.BTC-3JUN25,104691.8676,0.59891,0.00013,32.36197,-243.14582,3.90952
deribit,BTC-1JUN25-104500-C,2025-06-01 00:00:05.694,2025-06-01 00:00:05.702378,call,104500.0,2025-06-01 08:00:00,36.3,0.0038,0.0026,17.2,14.65,0.0042,17.4,26.63,0.0034,21.44,SYN.BTC-1JUN25,104654.446,0.59142,0.00057,12.28441,-131.68326,0.56201
deribit,BTC-3JUN25-104000-C,2025-06-01 00:00:05.729,2025-06-01 00:00:05.736970,call,104000.0,2025-06-03 08:00:00,7.8,0.015,0.014,17.1,32.59,0.0155,17.0,35.83,0.0148,35.06,SYN.BTC-3JUN25,104691.8676,0.59891,0.00013,32.36197,-243.14582,3.90952
deribit,BTC-20JUN25-105000-C,2025-06-01 00:00:05.755,2025-06-01 00:00:05.760929,call,105000.0,2025-06-20 08:00:00,237.3,0.041,0.0395,0.4,42.9,0.0405,37.2,43.45,0.0395,42.93,SYN.BTC-20JUN25,105027.265,0.52075,4e-05,96.30111,-106.91185,26.77088
deribit,BTC-13JUN25-105000-C,2025-06-01 00:00:05.783,2025-06-01 00:00:05.791242,call,105000.0,2025-06-13 08:00:00,133.0,0.0296,0.0295,0.4,40.91,0.0305,73.1,41.59,0.0297,41.18,BTC-13JUN25,104892.42,0.50969,5e-05,76.89883,-128.36818,17.01268
