exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-7FEB25-103000-P,2025-02-01 00:00:00.038,2025-02-01 00:00:00.473343,put,103000.0,2025-02-07 08:00:00,338.4,0.027,0.0255,10.0,44.59,0.0265,34.1,46.49,0.0258,45.12,BTC-7FEB25,102595.2,-0.51457,7e-05,53.87867,-191.91383,-9.61931
deribit,BTC-21FEB25-104000-P,2025-02-01 00:00:00.038,2025-02-01 00:00:01.473721,put,104000.0,2025-02-21 08:00:00,107.4,0.046,0.051,26.0,48.62,0.0525,24.4,50.21,0.0515,49.14,SYN.BTC-21FEB25,102999.22,-0.51012,3e-05,96.95319,-117.16374,-32.22445
deribit,BTC-21FEB25-101000-C,2025-02-01 00:00:00.038,2025-02-01 00:00:00.769450,call,101000.0,2025-02-21 08:00:00,3.6,0.056,0.055,34.4,47.88,0.0565,0.9,49.52,0.0559,48.87,SYN.BTC-21FEB25,102999.22,0.59003,3e-05,94.50437,-113.55893,30.64736
deribit,BTC-21FEB25-103000-P,2025-02-01 00:00:00.038,2025-02-01 00:00:01.271256,put,103000.0,2025-02-21 08:00:00,2.2,0.038,0.0455,26.8,48.34,0.047,1.0,49.94,0.0461,49.03,SYN.BTC-21FEB25,102999.22,-0.47696,3e-05,96.82257,-116.72633,-30.01466
deribit,BTC-3FEB25-102000-C,2025-02-01 00:00:00.038,2025-02-01 00:00:00.957087,call,102000.0,2025-02-03 08:00:00,9.6,0.0115,0.012,28.3,29.86,0.013,8.2,33.05,0.0124,31.2,SYN.BTC-3FEB25,102475.3897,0.57883,0.00015,32.04654,-214.22171,3.71052
deribit,BTC-21FEB25-103000-C,2025-02-01 00:00:00.038,2025-02-01 00:00:01.175854,call,103000.0,2025-02-21 08:00:00,13.9,0.045,0.0455,42.9,48.35,0.0465,7.5,49.42,0.0461,49.03,SYN.BTC-21FEB25,102999.22,0.52304,3e-05,96.82257,-116.72633,27.36433
deribit,BTC-21FEB25-102000-C,2025-02-01 00:00:00.038,2025-02-01 00:00:00.960716,call,102000.0,2025-02-21 08:00:00,1.0,0.0485,0.05,35.5,48.03,0.0515,11.7,49.64,0.0509,48.96,SYN.BTC-21FEB25,102999.22,0.55652,3e-05,96.00957,-115.57935,29.01375
deribit,BTC-14FEB25-101000-C,2025-02-01 00:00:00.041,2025-02-01 00:00:00.560912,call,101000.0,2025-02-14 08:00:00,87.2,0.044,0.0445,26.2,46.61,0.046,13.6,48.63,0.0452,47.59,BTC-14FEB25,102770.18,0.59347,4e-05,76.20013,-135.9976,20.58194
deribit,BTC-14FEB25-102000-C,2025-02-01 00:00:00.041,2025-02-01 00:00:00.770152,call,102000.0,2025-02-14 08:00:00,105.8,0.0395,0.0395,26.6,46.92,0.0405,1.0,48.24,0.0401,47.65,BTC-14FEB25,102770.18,0.55098,4e-05,77.72041,-138.88994,19.18075
deribit,BTC-14FEB25-103000-C,2025-02-01 00:00:00.041,2025-02-01 00:00:00.961392,call,103000.0,2025-02-14 08:00:00,33.0,0.034,0.035,20.1,47.32,0.036,22.2,48.63,0.0353,47.72,BTC-14FEB25,102770.18,0.50842,4e-05,78.34356,-140.19913,17.76149
deribit,BTC-14FEB25-103000-P,2025-02-01 00:00:00.041,2025-02-01 00:00:01.078181,put,103000.0,2025-02-14 08:00:00,43.9,0.0395,0.037,27.0,47.01,0.0385,42.6,48.98,0.0375,47.72,BTC-14FEB25,102770.18,-0.49158,4e-05,78.34356,-140.19913,-19.86408
deribit,BTC-28FEB25-104000-C,2025-02-01 00:00:00.145,2025-02-01 00:00:01.172951,call,104000.0,2025-02-28 08:00:00,309.8,0.0515,0.0515,13.7,50.37,0.0525,0.5,51.29,0.0522,51.0,BTC-28FEB25,103228.79,0.50656,3e-05,112.68134,-105.12365,35.12514
