exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC_USDC-28NOV25-112000-P,2025-10-31 23:59:59.697,2025-11-01 00:00:00.740500,put,112000.0,2025-11-28 08:00:00,4.07,6100.0,5400.0,5.0,35.79,6400.0,5.0,44.2,5956.91,40.48,BTC_USDC-28NOV25,109977.77,-0.54344,3e-05,119.35216,-88.37823,-49.23416
deribit,BTC-21NOV25-108000-C,2025-11-01 00:00:00.257,2025-11-01 00:00:00.652254,call,108000.0,2025-11-21 08:00:00,20.4,0.0435,0.047,2.1,40.52,0.048,37.7,41.61,0.0474,40.98,SYN.BTC-21NOV25,109884.125,0.58986,4e-05,100.8313,-101.59959,33.20486
deribit,BTC-21NOV25-109000-C,2025-11-01 00:00:00.257,2025-11-01 00:00:00.853532,call,109000.0,2025-11-21 08:00:00,9.6,0.0455,0.042,0.5,40.37,0.0425,4.3,40.9,0.0421,40.5,SYN.BTC-21NOV25,109884.125,0.55263,4e-05,102.56557,-102.14107,31.25011
deribit,BTC-21NOV25-110000-C,2025-11-01 00:00:00.257,2025-11-01 00:00:01.062058,call,110000.0,2025-11-21 08:00:00,20.0,0.0375,0.037,3.6,39.85,0.038,59.6,40.91,0.0373,40.15,SYN.BTC-21NOV25,109884.125,0.51446,4e-05,103.39923,-102.0943,29.20979
deribit,BTC_USDC-7NOV25-109000-C,2025-11-01 00:00:00.590,2025-11-01 00:00:01.432728,call,109000.0,2025-11-07 08:00:00,1.8,2440.0,2460.0,5.0,36.52,2540.0,5.0,37.93,2516.31,37.51,SYN.BTC_USDC-7NOV25,109693.13,0.5608,7e-05,56.974,-168.72711,10.23674
deribit,BTC-28NOV25-110000-C,2025-11-01 00:00:00.700,2025-11-01 00:00:01.234816,call,110000.0,2025-11-28 08:00:00,858.0,0.045,0.0445,0.1,40.87,0.045,5.4,41.33,0.0446,40.98,BTC-28NOV25,109977.97,0.52165,3e-05,119.88798,-89.87618,39.28684
deribit,BTC_USDC-28NOV25-108000-C,2025-11-01 00:00:00.705,2025-11-01 00:00:02.427047,call,108000.0,2025-11-28 08:00:00,0.0,6140.0,5580.0,5.0,38.21,6440.0,5.0,45.57,5971.82,41.57,BTC_USDC-28NOV25,109978.01,0.58567,3e-05,117.28544,-89.17908,43.74564
deribit,BTC-28NOV25-108000-C,2025-11-01 00:00:00.987,2025-11-01 00:00:01.060113,call,108000.0,2025-11-28 08:00:00,628.3,0.055,0.054,5.9,41.09,0.055,6.5,42.03,0.0545,41.57,BTC-28NOV25,109977.97,0.58567,3e-05,117.28548,-89.17911,43.74554
deribit,BTC_USDC-28NOV25-112000-P,2025-11-01 00:00:01.120,2025-11-01 00:00:01.131143,put,112000.0,2025-11-28 08:00:00,4.07,6100.0,5720.0,8.91,35.79,6240.0,8.91,44.2,5956.91,40.48,BTC_USDC-28NOV25,109977.77,-0.54344,3e-05,119.35216,-88.37823,-49.23416
deribit,BTC_USDC-28NOV25-112000-P,2025-11-01 00:00:01.223,2025-11-01 00:00:01.234843,put,112000.0,2025-11-28 08:00:00,4.07,6100.0,5740.0,5.0,35.79,6220.0,5.0,44.2,5956.91,40.48,BTC_USDC-28NOV25,109977.77,-0.54344,3e-05,119.35216,-88.37823,-49.23416
deribit,BTC-21NOV25-111000-P,2025-11-01 00:00:01.259,2025-11-01 00:00:01.343255,put,111000.0,2025-11-21 08:00:00,11.7,0.0395,0.0425,20.4,39.32,0.0435,6.8,40.39,0.0431,39.93,SYN.BTC-21NOV25,109884.08,-0.52395,4e-05,103.28067,-101.42096,-34.70985
deribit,BTC-21NOV25-110000-P,2025-11-01 00:00:01.259,2025-11-01 00:00:01.310292,put,110000.0,2025-11-21 08:00:00,27.9,0.0378,0.038,16.7,39.79,0.0385,1.1,40.32,0.0383,40.15,SYN.BTC-21NOV25,109884.08,-0.48554,4e-05,103.3992,-102.09437,-32.06886
deribit,BTC_USDC-14NOV25-111000-P,2025-11-01 00:00:01.321,2025-11-01 00:00:02.147336,put,111000.0,2025-11-14 08:00:00,0.0,,3700.0,5.0,36.42,4180.0,5.0,42.2,3911.63,38.97,SYN.BTC_USDC-14NOV25,109790.24,-0.54375,5e-05,83.20986,-121.60397,-23.23955
deribit,BTC_USDC-14NOV25-110000-C,2025-11-01 00:00:01.321,2025-11-01 00:00:01.873767,call,110000.0,2025-11-14 08:00:00,0.0,,2980.0,5.0,36.88,3340.0,5.0,41.19,3183.08,39.32,SYN.BTC_USDC-14NOV25,109790.24,0.50486,5e-05,83.70754,-123.41385,19.0825
deribit,BTC_USDC-4NOV25-109000-C,2025-11-01 00:00:01.452,2025-11-01 00:00:02.342602,call,109000.0,2025-11-04 08:00:00,0.0,,1580.0,4.91,29.78,1660.0,4.91,31.74,1623.16,30.84,SYN.BTC_USDC-4NOV25,109629.04,0.58316,0.00012,40.88407,-189.13634,5.69013
deribit,BTC_USDC-14NOV25-110000-P,2025-11-01 00:00:01.527,2025-11-01 00:00:02.159644,put,110000.0,2025-11-14 08:00:00,0.0,,3340.0,5.0,38.69,3440.0,5.0,39.89,3392.4,39.32,SYN.BTC_USDC-14NOV25,109790.19,-0.49515,5e-05,83.70751,-123.4138,-21.10024
deribit,BTC_USDC-14NOV25-109000-C,2025-11-01 00:00:01.527,2025-11-01 00:00:01.663276,call,109000.0,2025-11-14 08:00:00,0.0,,3660.0,5.0,39.06,3780.0,5.0,40.51,3711.43,39.68,SYN.BTC_USDC-14NOV25,109790.19,0.55297,5e-05,82.97478,-123.47293,20.81867
deribit,BTC_USDC-7NOV25-110000-P,2025-11-01 00:00:01.590,2025-11-01 00:00:01.703726,put,110000.0,2025-11-07 08:00:00,1.87,2240.0,2080.0,5.0,33.35,2440.0,5.0,39.61,2299.2,37.16,SYN.BTC_USDC-7NOV25,109693.15,-0.513,7e-05,57.61409,-169.03236,-10.16358
deribit,BTC-7NOV25-109000-C,2025-11-01 00:00:01.946,2025-11-01 00:00:02.038718,call,109000.0,2025-11-07 08:00:00,315.0,0.0235,0.0225,5.7,36.61,0.0235,29.0,38.53,0.023,37.51,BTC-7NOV25,109692.97,0.56079,7e-05,56.97417,-168.72763,10.23652
deribit,BTC-14NOV25-110000-C,2025-11-01 00:00:02.002,2025-11-01 00:00:02.409909,call,110000.0,2025-11-14 08:00:00,141.7,0.0315,0.0285,30.7,38.58,0.0295,37.5,39.9,0.0291,39.32,BTC-14NOV25,109791.21,0.5049,5e-05,83.70816,-123.41476,19.08438
deribit,BTC-7NOV25-110000-P,2025-11-01 00:00:02.268,2025-11-01 00:00:02.325125,put,110000.0,2025-11-07 08:00:00,1351.3,0.0222,0.0205,0.5,36.25,0.021,0.3,37.2,0.021,37.16,BTC-7NOV25,109693.97,-0.51294,7e-05,57.61481,-169.03446,-10.16243
