exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho
deribit,BTC-29AUG25-116000-C,2025-07-31 23:59:59.530,2025-08-01 00:00:00.662146,call,116000.0,2025-08-29 08:00:00,1558.3,0.041,0.0395,13.4,34.52,0.0405,25.8,35.42,0.04,34.98,BTC-29AUG25,116274.61,0.52909,4e-05,128.89633,-79.55603,44.14432
deribit,BTC-29AUG25-116000-P,2025-07-31 23:59:59.530,2025-08-01 00:00:00.708999,put,116000.0,2025-08-29 08:00:00,1493.4,0.038,0.0375,0.7,34.84,0.038,0.3,35.29,0.0376,34.98,BTC-29AUG25,116272.68,-0.47098,4e-05,128.89579,-79.5557,-45.90746
deribit,BTC-29AUG25-118000-P,2025-07-31 23:59:59.530,2025-08-01 00:00:00.949496,put,118000.0,2025-08-29 08:00:00,778.2,0.0445,0.0465,0.4,34.51,0.0475,30.8,35.42,0.0468,34.79,BTC-29AUG25,116274.61,-0.54122,4e-05,128.54966,-78.91931,-53.07464
deribit,BTC-3AUG25-116000-P,2025-07-31 23:59:59.826,2025-08-01 00:00:00.706907,put,116000.0,2025-08-03 08:00:00,657.7,0.01,0.0095,22.7,26.87,0.0105,32.8,30.01,0.0101,28.79,SYN.BTC-3AUG25,115793.2986,-0.5263,0.00015,36.85446,-227.33736,-3.9707
deribit,BTC-15AUG25-116000-C,2025-08-01 00:00:00.379,2025-08-01 00:00:00.663827,call,116000.0,2025-08-15 08:00:00,111.0,0.0293,0.026,31.1,32.85,0.027,27.8,34.11,0.0265,33.53,SYN.BTC-15AUG25,116008.9533,0.51371,5e-05,91.65835,-107.20081,22.19376
deribit,BTC-15AUG25-117000-P,2025-08-01 00:00:00.379,2025-08-01 00:00:00.955008,put,117000.0,2025-08-15 08:00:00,147.8,0.0285,0.0305,19.8,32.76,0.0315,0.5,34.03,0.0311,33.47,SYN.BTC-15AUG25,116008.9533,-0.53788,5e-05,91.29871,-106.58701,-25.91865
deribit,BTC-29AUG25-116000-P,2025-08-01 00:00:00.862,2025-08-01 00:00:00.868613,put,116000.0,2025-08-29 08:00:00,1493.4,0.038,0.0375,0.7,34.84,0.0385,108.1,35.29,0.0376,34.98,BTC-29AUG25,116272.68,-0.47098,4e-05,128.89579,-79.5557,-45.90746
deribit,BTC-22AUG25-116000-C,2025-08-01 00:00:00.869,2025-08-01 00:00:01.245013,call,116000.0,2025-08-22 08:00:00,6.2,0.0335,0.033,0.3,33.62,0.0335,1.0,34.14,0.0333,33.89,SYN.BTC-22AUG25,116139.4833,0.52218,4e-05,111.84093,-88.8374,33.18825
deribit,BTC-22AUG25-116000-P,2025-08-01 00:00:00.869,2025-08-01 00:00:01.321206,put,116000.0,2025-08-22 08:00:00,1.6,0.0275,0.0315,18.0,33.31,0.0325,18.2,34.35,0.0321,33.89,SYN.BTC-22AUG25,116139.4833,-0.47782,4e-05,111.84093,-88.8374,-34.61083
deribit,BTC-8AUG25-116000-C,2025-08-01 00:00:00.949,2025-08-01 00:00:01.231686,call,116000.0,2025-08-08 08:00:00,834.1,0.018,0.0175,37.9,31.87,0.0185,28.3,33.64,0.0182,33.03,BTC-8AUG25,115875.37,0.50018,7e-05,65.52476,-147.57832,11.22199
